,City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,Dikson,73.51,80.55,30.72,94,100,20.83,RU,1602798371
1,Hithadhoo,-0.6,73.08,82.31,75,97,20.09,MV,1602798372
2,Moerai,-22.43,-151.33,72.18,84,88,18.54,PF,1602798372
3,George Town,5.41,100.34,77.0,88,40,8.05,MY,1602798243
4,Punta Arenas,-53.15,-70.92,51.8,53,75,34.45,CL,1602798373
5,Saint-Philippe,-21.36,55.77,71.6,68,7,5.82,RE,1602798374
6,Bilibino,68.05,166.44,27.55,93,100,4.05,RU,1602798374
7,Torbay,47.67,-52.73,60.01,93,90,10.29,CA,1602798374
8,Torata,-17.08,-70.84,62.91,45,12,6.96,PE,1602798374
9,Chui,-33.7,-53.46,59.09,93,38,6.89,UY,1602798375
10,Amga,60.9,131.96,15.42,96,98,3.04,RU,1602798375
11,Cairns,-16.92,145.77,73.4,78,75,9.17,AU,1602798369
12,Arlit,18.74,7.39,93.67,11,0,11.32,NE,1602798377
13,Vaini,-21.2,-175.2,77.0,78,75,11.41,TO,1602798377
14,Kapaa,22.08,-159.32,84.99,70,75,16.11,US,1602798264
15,Coos Bay,43.37,-124.22,66.0,59,1,16.11,US,1602798378
16,Ushuaia,-54.8,-68.3,51.8,40,90,34.45,AR,1602798379
17,Longyearbyen,78.22,15.64,26.6,92,75,2.24,SJ,1602798380
18,Yellowknife,62.46,-114.35,28.4,58,90,21.92,CA,1602798166
19,Saint Paul Harbor,57.79,-152.41,48.2,66,1,12.75,US,1602798381
20,Barrow,71.29,-156.79,26.6,73,90,3.36,US,1602798313
21,Vardø,70.37,31.11,35.6,93,75,13.87,NO,1602798382
22,Grindavik,63.84,-22.43,48.2,87,90,9.17,IS,1602798382
23,Bonfim,3.08,-59.95,87.85,51,98,4.76,BR,1602798383
24,Jamestown,42.1,-79.24,52.0,93,90,11.41,US,1602798383
25,Haines Junction,60.75,-137.51,37.31,77,98,0.78,CA,1602798383
26,Cape Town,-33.93,18.42,61.0,77,73,16.11,ZA,1602798138
27,Port Alfred,-33.59,26.89,62.96,81,42,7.4,ZA,1602798384
28,Port Hedland,-20.32,118.57,73.4,56,0,9.17,AU,1602798107
29,Port Blair,11.67,92.75,80.56,83,99,12.24,IN,1602798384
30,Itarema,-2.92,-39.92,79.48,81,77,14.85,BR,1602798385
31,Hobart,-42.88,147.33,46.4,61,75,6.93,AU,1602798107
32,Fairbanks,64.84,-147.72,21.2,79,90,3.36,US,1602798369
33,Rikitea,-23.12,-134.97,73.92,77,97,14.99,PF,1602798385
34,Ponta do Sol,32.67,-17.1,68.0,72,75,6.93,PT,1602798248
35,Mataura,-46.19,168.86,54.0,52,99,13.0,NZ,1602798386
36,Busselton,-33.65,115.33,51.01,64,100,9.57,AU,1602798387
37,East London,-33.02,27.91,65.48,80,59,13.18,ZA,1602798387
38,Leningradskiy,69.38,178.42,34.56,88,100,15.08,RU,1602798388
39,Puerto Ayora,-0.74,-90.35,78.8,65,20,21.92,EC,1602798388
40,Albany,42.6,-73.97,70.0,64,11,1.99,US,1602798389
41,Orzu,37.56,68.82,50.0,76,0,2.24,TJ,1602798389
42,Pemangkat,1.17,108.97,77.18,87,100,7.25,ID,1602798390
43,Härnösand,62.63,17.94,48.2,76,100,12.75,SE,1602798394
44,Kavieng,-2.57,150.8,83.71,72,50,10.22,PG,1602798394
45,Avera,33.19,-82.53,82.4,65,1,3.56,US,1602798395
46,Geraldton,-28.77,114.6,53.6,93,59,9.17,AU,1602798395
47,Port-Gentil,-0.72,8.78,78.8,78,75,8.05,GA,1602798395
48,Oktyabr'skoye,43.06,44.74,50.0,81,0,6.71,RU,1602798396
49,Thompson,55.74,-97.86,30.2,58,90,17.22,CA,1602798301
50,Hong Kong,22.29,114.16,79.0,74,74,1.99,HK,1602798193
51,Lagdo,9.05,13.73,76.41,76,63,2.93,CM,1602798397
52,Cabo San Lucas,22.89,-109.91,91.0,66,5,19.46,MX,1602798397
53,Hermanus,-34.42,19.23,57.99,87,90,5.01,ZA,1602798397
54,Provideniya,64.38,-173.3,44.6,81,90,20.13,RU,1602798398
55,Faanui,-16.48,-151.75,79.63,76,45,10.51,PF,1602798398
56,Ahipara,-35.17,173.17,59.58,62,6,4.85,NZ,1602798398
57,Ariquemes,-9.91,-63.04,87.22,48,83,2.53,BR,1602798399
58,Zhigansk,66.77,123.37,19.74,97,99,16.35,RU,1602798399
59,Conceição da Barra,-18.59,-39.73,76.35,86,0,4.59,BR,1602798400
60,Townsville,-19.25,146.8,75.0,64,20,5.82,AU,1602798200
61,Bluff,-46.6,168.33,54.0,52,100,13.0,NZ,1602798401
62,Port Elizabeth,-33.92,25.57,60.8,93,50,9.17,ZA,1602798401
63,Lebu,-37.62,-73.65,54.66,69,35,11.5,CL,1602798401
64,Freeport,40.66,-73.58,66.2,68,1,19.46,US,1602798316
65,Cherskiy,68.75,161.3,34.11,89,100,4.83,RU,1602798398
66,Chokurdakh,70.63,147.92,27.46,99,100,8.43,RU,1602798403
67,Avarua,-21.21,-159.78,75.2,53,100,6.93,CK,1602798403
68,Airai,-8.93,125.41,62.6,73,98,1.7,TL,1602798404
69,Taltal,-25.4,-70.48,62.73,64,29,6.78,CL,1602798404
70,Tuy Hoa,13.08,109.3,77.59,90,100,6.06,VN,1602798404
71,Salalah,17.02,54.09,77.0,83,40,3.36,OM,1602798404
72,New Norfolk,-42.78,147.06,46.0,72,4,1.97,AU,1602798404
73,Kasongo-Lunda,-6.47,16.82,73.44,86,84,0.4,CD,1602798405
74,Koumac,-20.57,164.28,71.58,86,100,8.21,NC,1602798405
75,Waipawa,-41.41,175.52,54.0,66,65,4.7,NZ,1602798406
76,Butaritari,3.07,172.79,82.31,73,42,11.95,KI,1602798406
77,Witu,-2.39,40.44,77.23,83,4,8.21,KE,1602798406
78,Souillac,-20.52,57.52,71.6,88,20,8.05,MU,1602798407
79,Mar del Plata,-38.0,-57.56,57.2,82,0,9.17,AR,1602798407
80,Mackenzie,55.3,-123.17,39.2,69,1,8.05,CA,1602798221
81,Cidreira,-30.18,-50.21,64.15,87,56,7.47,BR,1602798408
82,Norman Wells,65.28,-126.83,21.2,67,75,11.41,CA,1602798409
83,Susurluk,39.91,28.16,62.01,82,0,4.7,TR,1602798409
84,Coquimbo,-29.95,-71.34,60.8,72,20,11.41,CL,1602798409
85,Waddān,29.16,16.14,77.43,21,23,3.87,LY,1602798410
86,Three Hills,51.7,-113.27,42.01,46,60,15.73,CA,1602798210
87,Pisco,-13.7,-76.22,68.0,72,4,17.22,PE,1602798264
88,Carutapera,-1.2,-46.02,80.6,76,79,9.78,BR,1602798411
89,Half Moon Bay,37.46,-122.43,89.6,41,1,17.22,US,1602798411
90,Tasiilaq,65.61,-37.64,42.8,87,100,14.99,GL,1602798412
91,Hanzhong,33.07,107.03,51.78,87,100,1.23,CN,1602798412
92,Dalian,38.91,121.6,53.6,81,75,2.24,CN,1602798412
93,Castro,-24.79,-50.01,62.06,95,99,8.68,BR,1602798413
94,Oltina,44.17,27.67,64.0,69,0,7.0,RO,1602798414
95,Ancud,-41.87,-73.82,62.01,48,0,6.93,CL,1602798414
96,Saskylakh,71.92,114.08,19.62,96,100,14.94,RU,1602798398
97,San Cristobal,7.77,-72.22,89.6,52,40,11.41,VE,1602798305
98,Oromocto,45.84,-66.48,62.6,55,1,14.99,CA,1602798187
99,Uyuni,-20.46,-66.83,55.71,45,89,14.7,BO,1602798415
100,Bredasdorp,-34.53,20.04,51.8,93,100,3.36,ZA,1602798416
101,Maltahöhe,-24.83,16.98,69.37,24,0,6.4,NA,1602798416
102,Nioro,13.35,-15.75,79.29,86,31,7.72,GM,1602798416
103,Anchorage,61.22,-149.9,41.0,86,90,6.93,US,1602798209
104,Kogon,39.72,64.55,51.8,43,0,6.93,UZ,1602798417
105,Ribeira Grande,38.52,-28.7,69.49,84,50,9.95,PT,1602798397
106,Sitka,57.05,-135.33,48.2,81,90,8.05,US,1602798417
107,Rawson,-43.3,-65.1,72.91,31,1,21.99,AR,1602798418
108,Mahon,39.89,4.27,53.6,87,20,8.05,ES,1602798404
109,Vila Velha,-20.33,-40.29,75.2,78,90,14.99,BR,1602798418
110,Abong Mbang,3.98,13.18,68.14,98,97,1.05,CM,1602798419
111,Shingū,33.73,135.98,58.55,55,12,5.1,JP,1602798420
112,Lorengau,-2.02,147.27,83.19,67,74,3.44,PG,1602798420
113,Mattru,7.62,-11.83,74.8,96,99,2.33,SL,1602798420
114,Ōmagari,39.45,140.48,45.86,73,50,1.59,JP,1602798420
115,Santa Maria,-29.68,-53.81,66.43,75,9,8.7,BR,1602798421
116,Portoferraio,42.81,10.31,57.99,85,49,10.18,IT,1602798422
117,Maragogi,-9.01,-35.22,75.79,78,88,8.12,BR,1602798406
118,Saint-Paul,-21.01,55.27,71.6,64,39,3.36,RE,1602798423
119,Ilulissat,69.22,-51.1,37.4,51,75,2.24,GL,1602798399
120,Kalemie,-5.95,29.19,74.44,74,2,1.61,CD,1602798423
121,Mahébourg,-20.41,57.7,71.6,88,20,8.05,MU,1602798416
122,Altay,47.87,88.12,34.68,67,58,6.15,CN,1602798417
123,Simdega,22.62,84.52,73.22,90,95,5.41,IN,1602798424
124,Qaanaaq,77.48,-69.36,26.53,83,58,5.26,GL,1602798424
125,Saint-Michel-des-Saints,46.68,-73.92,51.04,87,100,12.35,CA,1602798425
126,Kulhudhuffushi,6.62,73.07,81.97,76,78,19.95,MV,1602798425
127,Kununurra,-15.77,128.73,73.4,100,0,2.24,AU,1602798426
128,Saint-Junien,45.88,0.9,45.0,93,90,6.93,FR,1602798426
129,Banda Aceh,5.56,95.32,80.67,75,100,12.57,ID,1602798427
130,Moga,30.8,75.17,67.62,26,0,3.51,IN,1602798427
131,Kavaratti,10.57,72.64,81.39,77,40,17.05,IN,1602798427
132,Bambous Virieux,-20.34,57.76,73.99,88,20,8.05,MU,1602798428
133,Hita,33.32,130.93,64.0,82,89,2.84,JP,1602798429
134,Machinga,-15.17,35.3,69.13,62,0,4.27,MW,1602798429
135,Cheremshan,54.67,51.5,53.46,75,79,16.26,RU,1602798429
136,Nikolskoye,59.7,30.79,39.2,80,75,8.95,RU,1602798401
137,Garoowe,8.41,48.48,78.31,67,40,9.82,SO,1602798279
138,Clyde River,70.47,-68.59,33.8,100,90,12.75,CA,1602798409
139,Kaitangata,-46.28,169.85,48.99,54,87,3.36,NZ,1602798434
140,Coyhaique,-45.58,-72.07,60.8,38,75,23.04,CL,1602798417
141,Tura,25.52,90.22,72.54,93,2,2.77,IN,1602798435
142,Atuona,-9.8,-139.03,78.39,76,1,20.98,PF,1602798435
143,Mayo,38.89,-76.51,71.6,68,1,13.87,US,1602798436
144,Porto Walter,-8.27,-72.74,87.04,52,89,3.02,BR,1602798436
145,Desbiens,48.42,-71.95,55.4,71,90,11.41,CA,1602798436
146,Khovd,48.01,91.64,34.2,62,44,6.08,MN,1602798437
147,Talnakh,69.49,88.4,24.8,92,75,20.13,RU,1602798437
148,Dābhol,17.6,73.17,76.19,95,95,8.75,IN,1602798438
149,Alice Springs,-23.7,133.88,75.0,52,0,4.7,AU,1602798438
150,Antofagasta,-23.65,-70.4,60.8,77,40,14.99,CL,1602798172
151,Hamilton,39.18,-84.53,53.01,87,90,5.82,US,1602798361
152,Camacha,33.08,-16.33,68.0,68,20,9.17,PT,1602798439
153,Leshukonskoye,64.9,45.76,30.7,99,89,1.95,RU,1602798440
154,Goderich,43.75,-81.72,53.01,74,100,17.87,CA,1602798440
155,Ţaga,46.95,24.05,55.4,76,20,2.24,RO,1602798441
156,Grand Gaube,-20.01,57.66,73.99,76,0,3.0,MU,1602798441
157,Adrar,20.5,-10.07,91.72,13,29,11.54,MR,1602798441
158,Yangi Marg`ilon,40.43,71.72,50.0,71,0,6.93,UZ,1602798442
159,Belém de São Francisco,-8.75,-38.97,86.47,34,0,21.21,BR,1602798442
160,Ballina,-28.87,153.57,71.01,82,0,2.24,AU,1602798442
161,Mariental,-24.63,17.97,77.79,17,0,16.49,NA,1602798443
162,Touros,-5.2,-35.46,78.8,78,40,11.41,BR,1602798443
163,Namatanai,-3.67,152.43,82.83,70,91,6.64,PG,1602798443
164,Upernavik,72.79,-56.15,28.2,84,21,6.96,GL,1602798423
165,Tuktoyaktuk,69.45,-133.04,21.2,79,90,12.75,CA,1602798444
166,Llanes,43.42,-4.75,53.01,73,47,5.32,ES,1602798444
167,Sampit,-2.53,112.95,72.57,96,83,2.08,ID,1602798346
168,Los Llanos de Aridane,28.66,-17.92,73.4,78,90,6.93,ES,1602798408
169,Hualmay,-11.1,-77.61,65.97,73,17,8.93,PE,1602798445
170,Hilo,19.73,-155.09,87.8,58,40,11.41,US,1602797940
171,Aklavik,68.22,-135.01,23.0,62,90,4.7,CA,1602798242
172,Arraial do Cabo,-22.97,-42.03,73.4,94,75,11.41,BR,1602798446
173,Chapais,49.78,-74.85,44.6,87,90,19.46,CA,1602798446
174,Tuatapere,-46.13,167.68,54.0,52,100,13.0,NZ,1602798446
175,Saint George,37.1,-113.58,82.99,15,1,4.7,US,1602798343
176,Tiksi,71.69,128.87,20.97,98,94,0.98,RU,1602798401
177,Linxia Chengguanzhen,35.6,103.21,37.04,73,2,1.48,CN,1602798448
178,Xingyi,24.19,102.82,56.82,96,97,2.35,CN,1602798448
179,Santa Cruz Cabrália,-16.28,-39.02,77.0,78,61,14.99,BR,1602798448
180,Gayéri,12.65,0.49,84.33,45,58,3.62,BF,1602798449
181,Montclair,40.83,-74.21,73.4,64,1,12.75,US,1602798450
182,Keuruu,62.27,24.7,37.4,93,75,6.93,FI,1602798450
183,Khor,47.89,134.95,30.24,94,0,7.67,RU,1602798450
184,Kamaishi,39.27,141.88,50.13,60,81,5.19,JP,1602798451
185,Rāzole,16.48,81.83,76.89,93,97,2.21,IN,1602798451
186,Mahina,-17.51,-149.49,80.6,69,75,13.87,PF,1602798451
187,Lethem,3.38,-59.8,87.58,52,92,6.13,GY,1602798452
188,‘Āhuimanu,21.44,-157.84,84.99,62,75,8.05,US,1602798452
189,Gilgit,35.92,74.31,60.94,31,2,2.33,PK,1602798251
190,Walvis Bay,-22.96,14.51,59.0,87,9,6.93,NA,1602798453
191,Hasaki,35.73,140.83,57.2,76,75,16.11,JP,1602798410
192,Simao,22.79,100.97,62.2,96,100,1.74,CN,1602798454
193,Shimoda,34.67,138.95,55.0,75,85,3.0,JP,1602798454
194,Gizo Government Station,-8.1,156.84,82.99,71,34,6.53,SB,1602798454
195,Calama,-22.47,-68.93,75.2,8,58,25.28,CL,1602798360
196,Jiaojiang,28.68,121.44,61.0,81,91,3.0,CN,1602798455
197,Caravelas,-17.71,-39.25,75.97,84,67,8.75,BR,1602798403
198,Yerbogachën,61.28,108.01,22.33,88,88,11.5,RU,1602798455
199,Sechura,-5.56,-80.82,71.65,66,14,14.16,PE,1602798456
200,San Fernando del Valle de Catamarca,-28.47,-65.79,64.99,55,53,12.91,AR,1602798456
201,Tual,-5.67,132.75,82.26,76,97,12.59,ID,1602798461
202,Vestmannaeyjar,63.44,-20.27,47.98,79,49,9.33,IS,1602798425
203,Vaitape,-16.52,-151.75,80.46,75,46,10.36,PF,1602798461
204,Zaria,11.11,7.72,78.24,50,0,2.24,NG,1602798461
205,Kyzyl-Mazhalyk,51.13,90.6,37.63,66,100,1.79,RU,1602798461
206,São José da Coroa Grande,-8.9,-35.15,76.3,78,88,8.59,BR,1602798462
207,Klaksvík,62.23,-6.59,44.6,75,65,4.7,FO,1602798425
208,Tupik,54.43,119.93,24.08,92,93,4.32,RU,1602798462
209,Tarakan,3.3,117.63,77.95,83,100,6.08,ID,1602798463
210,Basco,20.45,121.97,82.29,78,38,24.67,PH,1602798463
211,Nabire,-3.37,135.48,76.77,89,99,2.77,ID,1602798429
212,Esperance,-33.87,121.9,55.4,100,90,10.29,AU,1602798415
213,Ashtabula,41.7,-80.77,50.0,87,90,12.75,US,1602798464
214,Mandiana,10.63,-8.68,76.59,75,80,2.82,GN,1602798465
215,Somanda,-3.37,33.95,73.8,48,4,11.54,TZ,1602798466
216,Laas,46.62,10.7,45.0,71,75,10.29,IT,1602798466
217,Kaeo,-35.1,173.78,59.0,75,36,7.0,NZ,1602798466
218,Safi,32.3,-9.24,63.52,75,76,12.21,MA,1602798467
219,Bariloche,-41.15,-71.31,75.2,17,73,10.29,AR,1602798392
220,Lagoa,39.05,-27.98,69.15,84,87,10.8,PT,1602798468
221,Culver City,34.02,-118.4,96.01,39,1,4.7,US,1602798429
222,Te Anau,-45.42,167.72,45.32,84,100,13.67,NZ,1602798469
223,Snezhnogorsk,69.19,33.25,35.6,100,75,4.47,RU,1602798469
224,Carnarvon,-24.87,113.63,66.2,88,75,17.22,AU,1602798469
225,Buraidah,26.33,43.98,75.2,27,0,2.24,SA,1602798356
226,Shelburne,44.08,-80.2,50.0,81,75,5.82,CA,1602798470
227,Dunedin,-45.87,170.5,51.01,56,54,4.0,NZ,1602798470
228,Effingham County,32.37,-81.33,84.2,58,75,10.29,US,1602798471
229,Teya,60.38,92.63,25.48,93,44,7.38,RU,1602798471
230,Raudeberg,61.99,5.14,46.99,88,31,20.87,NO,1602798471
231,Ugoofaaru,5.67,73.0,81.12,81,76,20.58,MV,1602798472
232,Mackay,-21.15,149.2,71.01,72,8,10.29,AU,1602798472
233,Bengkulu,-3.8,102.27,76.23,83,99,3.83,ID,1602798472
234,Garissa,-0.45,39.64,77.29,73,4,17.83,KE,1602798473
235,Deputatsky,69.3,139.9,12.33,97,99,4.68,RU,1602798473
236,Rapid Valley,44.06,-103.15,51.8,29,40,26.4,US,1602798473
237,Dosso,13.05,3.19,89.4,36,75,2.17,NE,1602798474
238,Shambu,9.57,37.1,52.52,99,100,1.74,ET,1602798474
239,Zliten,32.47,14.57,82.47,23,1,10.4,LY,1602798302
240,Simbahan,6.3,120.58,82.74,73,100,9.51,PH,1602798474
241,Cabedelo,-6.98,-34.83,78.8,78,20,9.17,BR,1602798475
242,Nizhniy Odes,63.64,54.86,29.89,97,100,6.31,RU,1602798475
243,Londrina,-23.31,-51.16,73.4,88,20,5.39,BR,1602798475
244,Bethel,41.37,-73.41,66.2,63,1,11.41,US,1602798476
245,Benemérito de las Américas,16.52,-90.64,86.83,60,40,4.29,MX,1602798476
246,São Filipe,14.9,-24.5,81.25,79,54,8.43,CV,1602798400
247,João Pinheiro,-17.74,-46.17,82.27,43,47,2.39,BR,1602798241
248,Ariano Irpino,41.15,15.08,54.0,87,90,24.16,IT,1602798477
249,Flin Flon,54.77,-101.86,26.6,53,90,18.34,CA,1602798477
250,Villazón,-22.09,-65.59,55.96,58,43,17.6,BO,1602798478
251,Nanortalik,60.14,-45.24,38.89,75,100,6.17,GL,1602798478
252,Ambon City,-3.7,128.18,82.0,95,100,4.32,ID,1602798479
253,Nome,64.5,-165.41,37.4,93,90,16.11,US,1602798479
254,Havelock,34.88,-76.9,78.01,72,37,7.9,US,1602798479
255,Tommot,58.96,126.29,27.88,97,100,5.88,RU,1602798480
256,Bayangol,50.7,103.47,32.43,82,84,3.6,RU,1602798480
257,Nhulunbuy,-12.23,136.77,75.2,88,41,11.14,AU,1602798481
258,Martapura,-3.42,114.85,73.45,96,98,2.04,ID,1602798481
259,Lüderitz,-26.65,15.16,69.55,38,0,14.12,NA,1602798481
260,Elizabeth City,36.29,-76.25,77.0,71,0,9.37,US,1602798481
261,Meulaboh,4.14,96.13,76.5,85,99,4.05,ID,1602798482
262,Corrales,35.24,-106.61,81.0,10,1,5.82,US,1602798333
263,San Quintín,30.48,-115.95,83.62,33,0,9.1,MX,1602798431
264,Mumbai,19.01,72.85,82.4,83,75,5.82,IN,1602798207
265,Broome,42.25,-75.83,71.6,40,75,17.22,US,1602798483
266,Katangli,51.71,143.23,31.73,88,67,13.38,RU,1602798484
267,San Patricio,28.02,-97.52,91.4,59,20,18.34,US,1602798484
