,City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
268,Sobolevo,54.43,31.9,43.68,92,38,5.5,RU,1602798484
269,Mbeya,-8.9,33.45,59.05,85,13,6.49,TZ,1602798484
270,Mount Isa,-20.73,139.5,78.8,29,0,11.41,AU,1602798485
271,Ugep,5.81,8.08,73.98,98,100,3.83,NG,1602798485
272,Agüimes,27.91,-15.45,71.6,78,40,18.34,ES,1602798485
273,Santa Cruz de la Sierra,-17.8,-63.17,84.2,45,75,16.11,BO,1602798486
274,Shakawe,-18.37,21.85,73.44,43,27,4.76,BW,1602798486
275,Pierre,44.37,-100.35,51.01,31,75,19.46,US,1602798486
276,Beloha,-25.17,45.05,63.91,93,37,9.57,MG,1602798486
277,Faya,18.39,42.45,62.6,12,0,5.97,SA,1602798487
278,Khatanga,71.97,102.5,9.66,96,97,8.16,RU,1602798487
279,Piaçabuçu,-10.41,-36.43,75.56,80,0,9.15,BR,1602798488
280,Lālmohan,22.34,90.74,80.74,80,0,4.83,BD,1602798488
281,Henties Bay,-22.12,14.28,59.0,92,23,1.99,NA,1602798404
282,Laguna,38.42,-121.42,91.99,12,1,12.75,US,1602798434
283,Maniitsoq,65.42,-52.9,41.5,67,100,12.73,GL,1602798489
284,Ambilobe,-13.2,49.05,72.09,78,1,4.56,MG,1602798489
285,Kyra,49.58,111.98,27.1,90,1,2.91,RU,1602798489
286,Lagoa da Prata,-20.02,-45.54,76.86,65,11,10.74,BR,1602798490
287,Ataco,3.59,-75.38,90.77,38,2,2.8,CO,1602798490
288,Parintins,-2.63,-56.74,86.99,49,51,1.12,BR,1602798490
289,Ganzhou,28.82,115.43,61.9,93,100,3.91,CN,1602798490
290,Beyneu,45.32,55.2,50.41,53,0,11.5,KZ,1602798491
291,Trairi,-3.28,-39.27,79.63,80,64,11.07,BR,1602798491
292,Keighley,53.87,-1.91,46.99,89,54,3.0,GB,1602798491
293,Pitimbu,-7.47,-34.81,78.8,78,20,9.17,BR,1602798492
294,Northam,51.03,-4.22,46.0,84,39,1.01,GB,1602798492
295,Sayyan,15.17,44.32,53.89,36,0,3.42,YE,1602798492
296,Padang,-0.95,100.35,78.01,71,98,3.27,ID,1602798493
297,Batī,11.18,40.02,72.81,40,100,5.61,ET,1602798493
298,Nantucket,41.28,-70.1,66.2,77,1,13.87,US,1602798493
299,Darhan,49.49,105.92,34.2,79,7,9.48,MN,1602798493
300,Severomuysk,56.15,113.43,18.73,93,100,6.02,RU,1602798494
301,Karasjok,69.47,25.51,37.4,74,48,27.51,NO,1602798494
302,Beatrice,40.27,-96.75,55.4,20,1,18.34,US,1602798494
303,Olafsvik,64.89,-23.71,47.55,71,99,6.38,IS,1602798495
304,Severo-Kuril'sk,50.68,156.12,42.37,65,41,22.84,RU,1602798495
305,Gurupi,-11.73,-49.07,87.57,33,18,2.19,BR,1602798495
306,Hawalli,29.28,48.0,66.2,52,5,5.82,KW,1602798495
307,Yumen,40.28,97.2,30.43,79,0,5.53,CN,1602798496
308,Zaysan,47.47,84.87,40.96,60,17,2.8,KZ,1602798496
309,Ixtapa,20.7,-105.2,91.4,63,40,10.29,MX,1602798425
310,Bud,39.45,-86.18,48.0,93,1,9.73,US,1602798441
311,Ekhabi,53.51,142.97,32.83,86,100,16.22,RU,1602798497
312,Canto do Buriti,-8.11,-42.94,87.48,32,12,3.4,BR,1602798497
313,Kīhei,20.79,-156.47,87.8,55,1,11.41,US,1602798403
314,Mmabatho,-25.85,25.63,66.2,55,0,6.93,ZA,1602798498
315,Baní,18.28,-70.33,80.01,94,75,11.41,DO,1602798498
316,Janaúba,-15.8,-43.31,89.6,26,43,2.08,BR,1602798498
317,Pochutla,15.74,-96.47,89.6,59,75,5.26,MX,1602798499
318,Bilma,18.69,12.92,84.83,16,0,3.11,NE,1602798499
319,Årdalstangen,61.24,7.7,40.28,67,7,0.65,NO,1602798499
320,Corowa,-36.03,146.38,59.0,96,31,4.12,AU,1602798500
321,Puerto Carreño,6.19,-67.49,86.67,64,1,5.37,CO,1602798500
322,Arecibo,18.47,-66.72,82.0,86,24,14.67,PR,1602798501
323,Guilin,25.28,110.29,64.4,82,90,2.24,CN,1602798501
324,Caucayá,-0.19,-74.78,82.26,73,83,2.89,CO,1602798501
325,Kiama,-34.68,150.87,64.0,89,100,8.46,AU,1602798502
326,Limulunga,-15.1,23.14,78.35,39,38,5.23,ZM,1602798502
327,Atar,20.52,-13.05,90.93,24,33,7.96,MR,1602798392
328,Auki,-8.77,160.7,84.38,70,1,3.02,SB,1602798503
329,Boa Vista,2.82,-60.67,87.8,48,40,6.93,BR,1602798503
330,Kuril'sk,45.23,147.88,47.26,65,73,16.44,RU,1602798503
331,Bad Schwalbach,50.13,8.07,51.01,96,100,3.0,DE,1602798504
332,Oranjemund,-28.55,16.43,61.36,71,0,7.09,NA,1602798504
333,Chicama,-7.84,-79.15,64.4,82,40,8.05,PE,1602798504
334,Guymon,36.68,-101.48,60.8,31,1,11.41,US,1602798504
335,Vizovice,49.22,17.85,46.0,92,100,4.38,CZ,1602798505
336,Tsimmerbude,54.67,20.13,48.2,81,75,13.42,RU,1602798505
337,Sinnamary,5.38,-52.95,81.43,77,17,12.91,GF,1602798505
338,Balkhash,46.84,74.98,50.47,47,0,6.51,KZ,1602798505
339,Ibrā’,22.69,58.53,66.33,24,0,4.59,OM,1602798506
340,Polson,47.69,-114.16,50.0,42,9,3.0,US,1602798506
341,Mangai,-4.05,19.53,71.42,98,100,1.52,CD,1602798506
342,Sakakah,29.97,40.21,73.4,27,0,5.82,SA,1602798507
343,Kovūr,14.48,79.98,80.29,75,57,3.62,IN,1602798507
344,Liancheng,24.05,105.08,58.96,97,100,2.37,CN,1602798507
345,Kutoarjo,-7.72,109.91,63.0,87,100,2.8,ID,1602798508
346,Salisbury,51.07,-1.8,48.2,87,16,6.93,GB,1602798508
347,Hambantota,6.12,81.12,77.0,100,40,2.24,LK,1602798508
348,Sines Municipality,37.96,-8.87,57.99,69,3,8.99,PT,1602798509
349,Asău,46.43,26.4,52.0,100,0,4.09,RO,1602798509
350,Ulladulla,-35.35,150.47,59.0,100,75,5.82,AU,1602798510
351,Kanniyākumāri,8.08,77.57,78.85,83,81,18.9,IN,1602798510
352,Dingle,11.0,122.67,73.87,94,100,2.44,PH,1602798510
353,Denpasar,-8.65,115.22,76.53,84,73,0.51,ID,1602798505
354,Beringovskiy,63.05,179.32,42.24,93,100,20.85,RU,1602798511
355,Husavik,66.04,-17.34,30.2,92,0,3.33,IS,1602798511
356,Pangoa,-12.12,-73.0,73.8,86,13,3.65,PE,1602798512
357,Cockburn Town,21.46,-71.14,84.2,74,40,11.41,TC,1602798512
358,Baykit,61.67,96.37,25.41,92,99,9.22,RU,1602798512
359,Corn Island,12.17,-83.04,83.71,72,95,8.41,NI,1602798513
360,Shubarshi,48.59,57.19,53.69,42,99,8.9,KZ,1602798513
361,Flic en Flac,-20.27,57.36,73.99,88,20,8.05,MU,1602798513
362,Foindu,7.41,-11.54,74.68,95,97,2.17,SL,1602798514
363,Cap Malheureux,-19.98,57.61,73.99,76,0,3.0,MU,1602798514
364,Fort-Shevchenko,44.51,50.26,60.62,40,67,13.13,KZ,1602798514
365,Mountain Home,43.13,-115.69,57.2,28,1,17.22,US,1602798515
366,Tilichiki,60.47,166.1,35.89,89,99,13.15,RU,1602798515
367,Betafo,-19.83,46.85,61.72,79,36,3.44,MG,1602798515
368,Lucea,18.45,-78.17,82.99,74,40,3.36,JM,1602798516
369,Bubaque,11.28,-15.83,82.35,76,11,6.73,GW,1602798516
370,Solnechnyy,50.72,136.63,29.12,80,91,5.32,RU,1602798516
371,Outjo,-20.12,16.15,71.65,29,70,3.31,NA,1602798517
372,Ferry Pass,30.51,-87.21,82.0,69,1,11.41,US,1602798517
373,Fare,-16.7,-151.02,79.7,76,59,11.61,PF,1602798517
374,Pevek,69.7,170.31,35.26,86,100,14.43,RU,1602798518
375,La Ronge,55.1,-105.28,24.8,49,75,21.92,CA,1602798518
376,Karratha,-20.74,116.85,72.93,38,0,9.17,AU,1602798518
377,Chukhloma,58.75,42.68,41.54,89,100,9.01,RU,1602798519
378,Zharkent,44.16,80.0,47.05,53,0,4.38,KZ,1602798519
379,Svetlaya,46.54,138.33,38.8,71,3,11.77,RU,1602798519
380,Okhotsk,59.38,143.3,27.12,86,47,6.29,RU,1602798520
381,Gelibolu,40.41,26.67,60.8,82,0,3.36,TR,1602798520
382,Fort Nelson,58.81,-122.7,28.4,86,75,2.39,CA,1602798302
383,Kuytun,54.34,101.5,39.4,74,100,12.77,RU,1602798520
384,Henderson,36.04,-114.98,90.0,10,1,11.41,US,1602798228
385,Kayerkan,69.35,87.76,24.8,92,75,20.13,RU,1602798521
386,Qaqortoq,60.72,-46.03,33.8,74,100,4.7,GL,1602798521
387,Guerrero Negro,27.98,-114.06,89.29,41,25,12.88,MX,1602798521
388,Berlevåg,70.86,29.09,35.6,93,75,25.28,NO,1602798522
389,Omsukchan,62.53,155.8,26.06,96,100,4.92,RU,1602798522
390,Saint-François,46.42,3.91,46.99,93,90,9.17,FR,1602798523
391,Bahār,34.91,48.44,44.08,51,0,2.37,IR,1602798523
392,Carlisle,40.2,-77.19,78.8,39,1,10.29,US,1602798375
393,La Santisima Trinidad,-14.83,-64.9,91.4,55,40,8.05,BO,1602798524
394,Krasnoarmeysk,51.02,45.7,57.0,80,0,3.0,RU,1602798524
395,Calbuco,-41.77,-73.13,60.8,38,7,12.75,CL,1602798524
396,Longhua,23.61,114.19,67.48,91,92,2.95,CN,1602798524
397,Miranda,3.25,-76.23,77.47,66,80,2.17,CO,1602798524
398,Al Bardīyah,31.76,25.09,72.99,73,0,11.68,LY,1602798525
399,Edd,13.93,41.69,83.62,66,0,3.27,ER,1602798525
400,Finschhafen,-6.6,147.87,81.66,72,60,4.59,PG,1602798526
401,Campbell River,50.02,-125.24,50.0,93,90,4.7,CA,1602798527
402,Klyuchevskiy,53.53,119.45,21.94,94,27,4.34,RU,1602798527
403,Lufilufi,-13.87,-171.6,87.8,79,75,12.75,WS,1602798527
404,Yulara,-25.24,130.99,68.0,22,0,8.05,AU,1602798528
405,Malyn,50.77,29.24,53.6,66,100,4.47,UA,1602798528
406,Brae,60.4,-1.35,46.4,93,99,12.75,GB,1602798443
407,Pangnirtung,66.15,-65.71,37.4,74,90,14.99,CA,1602798529
408,Kahului,20.89,-156.47,87.8,55,1,11.41,US,1602798447
409,Şabyā,17.15,42.63,86.0,79,0,4.05,SA,1602798529
410,Cervo,43.67,-7.41,44.01,1,4,10.27,ES,1602798530
411,Port Lincoln,-34.73,135.87,58.01,86,100,11.05,AU,1602798530
412,Kutum,14.2,24.67,78.51,18,0,9.78,SD,1602798530
413,Kruisfontein,-34.0,24.73,62.01,88,78,5.95,ZA,1602798530
414,Khromtau,50.25,58.43,52.84,40,100,9.73,KZ,1602798531
415,Muisne,0.6,-80.03,76.46,81,57,10.13,EC,1602798531
416,Kangaatsiaq,68.31,-53.46,35.24,81,100,10.04,GL,1602798531
417,Methóni,36.82,21.7,66.99,93,0,13.44,GR,1602798532
418,Sørland,67.67,12.69,42.8,81,75,11.41,NO,1602798532
419,Thinadhoo,0.53,72.93,83.12,75,23,20.83,MV,1602798532
420,Gravdal,68.12,13.5,42.8,81,75,11.41,NO,1602798533
421,Tianpeng,30.99,103.94,61.0,93,40,2.24,CN,1602798533
422,Greenville,35.61,-77.37,80.6,57,40,8.05,US,1602798534
423,Lompoc,34.64,-120.46,90.0,28,1,12.75,US,1602798534
424,Baruun-Urt,46.68,113.28,28.98,87,0,12.06,MN,1602798534
425,Nara,34.69,135.8,59.0,72,75,4.7,JP,1602798534
426,Naze,28.37,129.48,71.6,88,75,2.24,JP,1602798535
427,Balikpapan,-1.27,116.83,77.0,94,40,2.24,ID,1602798417
428,Jacmel,18.23,-72.53,87.8,66,40,14.99,HT,1602798535
429,Gaziantep,37.06,37.38,62.6,67,0,7.07,TR,1602798535
430,Kokstad,-30.55,29.42,55.0,41,0,3.31,ZA,1602798536
431,Jumla,29.27,82.18,49.93,49,2,4.97,NP,1602798536
432,Marsh Harbour,26.54,-77.06,82.45,75,100,13.47,BS,1602798537
433,Caucasia,7.99,-75.19,82.04,85,71,5.48,CO,1602798537
434,Arrecife,28.96,-13.55,71.6,68,20,10.29,ES,1602798314
435,Uvira,-3.41,29.15,75.74,60,28,2.26,CD,1602798537
436,Kieta,-6.22,155.63,82.47,72,57,1.21,PG,1602798538
437,Camacupa,-12.02,17.48,64.15,91,89,4.12,AO,1602798538
438,Chipinge,-20.19,32.62,58.32,82,0,3.13,ZW,1602798538
439,Kibre Mengist,5.88,38.98,59.0,94,92,1.19,ET,1602798538
440,Port Moresby,-9.44,147.18,78.8,78,40,23.04,PG,1602798539
441,Necochea,-38.55,-58.74,55.99,87,0,3.0,AR,1602798539
442,Kharhiāl,20.28,82.77,73.9,94,94,0.6,IN,1602798539
443,Stanislav,46.57,32.15,64.67,84,90,11.03,UA,1602798540
444,Poum,-20.23,164.02,73.51,82,100,14.29,NC,1602798439
445,Piranshahr,36.7,45.14,49.14,48,5,1.97,IR,1602798342
446,Trabzon Province,40.92,39.83,68.0,88,40,4.7,TR,1602798541
447,Divo,5.84,-5.36,72.37,99,99,2.01,CI,1602798542
448,Constitución,-35.33,-72.42,60.84,72,3,9.55,CL,1602798542
449,Carauari,-4.88,-66.9,78.75,90,73,1.74,BR,1602798542
450,Dhilwan,31.52,75.35,66.2,88,0,1.61,IN,1602798542
451,Timbó,-26.82,-49.27,66.99,81,63,3.29,BR,1602798543
452,Pozo Colorado,-23.49,-58.8,76.53,77,97,10.69,PY,1602798544
453,Puerto Colombia,10.99,-74.95,86.0,74,40,9.17,CO,1602798544
454,Mindelo,16.89,-24.98,80.6,78,75,16.11,CV,1602798544
455,Berwick,41.05,-76.23,70.0,56,1,5.82,US,1602798544
456,Kirillov,59.86,38.38,37.4,100,90,5.19,RU,1602798545
457,Dudinka,69.41,86.18,24.8,92,75,20.13,RU,1602798545
458,Douentza,15.0,-2.95,93.0,19,56,5.35,ML,1602798545
459,Colesberg,-30.72,25.1,64.15,28,0,9.75,ZA,1602798545
460,Chu,43.6,73.76,47.35,52,0,3.78,KZ,1602798357
461,Petropavlovsk-Kamchatskiy,53.05,158.65,32.0,70,0,6.71,RU,1602798546
462,Viedma,-40.81,-63.0,70.29,34,0,15.32,AR,1602798430
463,Mnogovershinnyy,53.94,139.92,25.02,95,91,10.2,RU,1602798547
464,Bundaberg,-24.85,152.35,66.2,77,75,8.05,AU,1602798547
465,Damaturu,11.75,11.96,85.19,46,98,8.72,NG,1602798547
466,Berbera,10.44,45.01,84.78,61,0,6.98,SO,1602798548
467,Kabalo,-6.05,26.92,72.93,77,0,1.03,CD,1602798548
468,Saldanha,-33.01,17.94,57.2,71,0,8.05,ZA,1602798548
469,Harper,4.38,-7.72,77.77,88,97,9.01,LR,1602798549
470,Belmonte,-15.86,-38.88,77.0,78,77,14.99,BR,1602798549
471,Barbastro,42.04,0.13,44.6,60,0,10.29,ES,1602798549
472,Kibala,9.11,18.35,75.2,94,53,0.81,TD,1602798550
473,Masterton,-40.96,175.66,53.01,56,78,3.0,NZ,1602798550
474,Jiuquan,39.74,98.52,34.32,74,0,4.12,CN,1602798550
475,West Bay,19.37,-81.42,88.0,70,20,5.82,KY,1602798551
476,Ayagoz,47.97,80.44,40.21,66,33,2.84,KZ,1602798551
477,Lukh,57.01,42.26,49.69,77,100,16.64,RU,1602798551
478,Makīnsk,52.63,70.42,42.73,61,48,4.56,KZ,1602798552
479,Lavrentiya,65.58,-171.0,38.35,92,100,18.45,RU,1602798552
480,Bartica,6.4,-58.62,84.2,70,20,11.41,GY,1602798552
481,Trelew,-43.25,-65.31,78.66,22,0,19.17,AR,1602798552
482,Mahibadhoo,3.78,72.97,82.56,78,68,23.47,MV,1602798553
483,Dicabisagan,17.08,122.42,78.37,86,98,5.77,PH,1602798553
484,Skellefteå,64.75,20.95,35.6,93,5,6.93,SE,1602798554
485,Fortuna,40.6,-124.16,73.0,49,40,13.87,US,1602798554
486,Benghazi,32.12,20.07,82.2,41,37,22.17,LY,1602798421
487,Imbituba,-28.24,-48.67,68.0,77,40,12.75,BR,1602798362
488,Comodoro Rivadavia,-45.87,-67.5,78.8,24,68,9.17,AR,1602798555
489,São Félix do Xingu,-6.64,-51.99,85.17,43,58,3.27,BR,1602798555
490,Menongue,-14.66,17.69,64.06,81,75,2.26,AO,1602798556
491,Āsmār,35.03,71.36,63.41,29,0,6.6,AF,1602798556
492,General Roca,-39.03,-67.58,84.2,26,0,12.75,AR,1602798557
493,Mount Gambier,-37.83,140.77,44.6,81,0,9.17,AU,1602798561
494,Biloli,18.77,77.73,72.12,93,58,4.56,IN,1602798561
495,Capitão Poço,-1.75,-47.06,79.95,73,76,7.92,BR,1602798562
496,Hove,50.83,-0.17,44.01,92,16,3.0,GB,1602798562
497,Pacific Grove,36.62,-121.92,91.99,36,1,4.7,US,1602798562
498,Inhambane,-23.86,35.38,67.78,78,0,6.89,MZ,1602798562
499,Shīeli,44.17,66.75,55.04,40,0,11.12,KZ,1602798563
500,Kirkwall,58.98,-2.96,42.8,93,72,4.7,GB,1602798563
501,San Rafael,-34.62,-68.33,78.24,29,49,12.8,AR,1602798332
502,Rocha,-34.48,-54.33,58.17,93,66,6.46,UY,1602798564
503,Port Hardy,50.7,-127.42,48.2,93,90,18.34,CA,1602798426
504,Ystad,55.43,13.82,44.01,100,42,5.82,SE,1602798357
505,Krasnosel'kup,65.7,82.47,29.05,98,100,13.51,RU,1602798565
506,Bima,-8.47,118.72,76.01,85,78,2.86,ID,1602798565
507,Samarai,-10.62,150.67,79.14,82,60,9.28,PG,1602798417
508,Lata,40.16,-8.33,57.0,91,29,7.0,PT,1602798567
509,Grand-Lahou,5.14,-5.02,76.64,91,95,6.8,CI,1602798568
510,Ostrovnoy,68.05,39.51,37.8,83,100,15.03,RU,1602798568
511,Chumikan,54.72,135.31,31.6,89,99,18.37,RU,1602798568
512,Key West,24.56,-81.78,86.0,70,20,8.05,US,1602798495
513,Bograd,54.23,90.83,48.2,57,100,6.71,RU,1602798569
514,Hobyo,5.35,48.53,79.74,81,31,15.7,SO,1602798569
515,Makokou,0.57,12.86,71.06,97,98,3.67,GA,1602798570
516,Bonthe,7.53,-12.51,78.87,85,75,5.66,SL,1602798570
517,Bathsheba,13.22,-59.52,82.4,78,40,13.87,BB,1602798570
518,Bossangoa,6.49,17.46,70.9,96,86,2.46,CF,1602798570
519,‘Ewa Beach,21.32,-158.01,86.0,62,1,10.29,US,1602798571
520,Sabha,27.04,14.43,82.22,16,0,11.03,LY,1602798571
521,Cayenne,4.93,-52.33,84.2,66,0,8.05,GF,1602798572
522,Kenora,49.82,-94.43,33.8,47,90,12.75,CA,1602798572
523,Katsuura,35.13,140.3,60.01,62,95,10.0,JP,1602798573
524,Phan Thiet,10.93,108.1,75.99,91,100,7.25,VN,1602798573
525,Yar-Sale,66.83,70.83,31.41,94,99,11.1,RU,1602798574
526,Tupelo,34.26,-88.7,80.6,51,20,5.82,US,1602798574
527,The Valley,18.22,-63.06,82.4,94,40,10.29,AI,1602798574
528,Naryan-Mar,67.67,53.09,29.97,95,88,7.29,RU,1602798575
529,Arroyo de la Encomienda,41.61,-4.8,44.01,80,1,9.17,ES,1602798575
530,Vanimo,-2.67,141.3,80.01,84,100,3.47,PG,1602798575
531,Abu Samrah,35.3,37.18,62.74,90,0,7.34,SY,1602798576
532,Jalu,29.03,21.55,79.74,26,0,11.27,LY,1602798576
533,Antibes,43.56,7.13,55.4,82,20,6.93,FR,1602798577
534,Aksarka,66.56,67.8,29.8,94,100,10.63,RU,1602798577
535,Lahaina,20.88,-156.68,87.8,58,20,8.05,US,1602798578
536,São João da Barra,-21.64,-41.05,77.0,73,90,23.04,BR,1602798580
537,Dinghaicun,26.28,119.79,71.6,78,75,15.66,CN,1602798581
538,Jining,35.41,116.58,56.46,88,100,5.64,CN,1602798581
539,Tiruchirappalli,10.82,78.68,80.6,74,20,9.17,IN,1602798556
540,Twin Falls,42.35,-114.64,55.4,30,1,16.11,US,1602798582
